Team,Matches,Wins (Home),Draws (Home),Losses (Home),Goals Scored (Home),Goals Received (Home),Goal Difference (Home),Wins (Away),Draws (Away),Losses (Away),Goals Scored (Away),Goals Received (Away),Goal Difference (Away),Total Goals Scored,Total Goals Received,Total Goal Difference,Points (Home),Points (Away),Total Points
Leverkusen,34,14,3,0,47,11,36,14,3,0,42,13,29,89,24,65,45,45,90
Stuttgart,34,13,3,1,50,15,35,10,1,6,28,24,4,78,39,39,42,31,73
Bayern,34,14,1,2,53,12,41,9,2,6,41,33,8,94,45,49,43,29,72
Leipzig,34,11,4,2,40,12,28,8,4,5,37,27,10,77,39,38,37,28,65
Dortmund,34,10,3,4,37,22,15,8,6,3,31,21,10,68,43,25,33,30,63
Frankfurt,34,7,8,2,29,21,8,4,6,7,22,29,-7,51,50,1,29,18,47
Hoffenheim,34,6,5,6,31,31,0,7,2,8,35,35,0,66,66,0,23,23,46
Heidenheim,34,7,5,5,30,26,4,3,7,7,20,29,-9,50,55,-5,26,16,42
Bremen,34,7,4,6,29,26,3,4,5,8,19,28,-9,48,54,-6,25,17,42
Freiburg,34,5,7,5,28,30,-2,6,2,9,17,28,-11,45,58,-13,22,20,42
Augsburg,34,4,6,7,24,34,-10,6,3,10,26,26,0,50,60,-10,18,21,39
Wolfsburg,34,4,3,10,16,31,-15,6,4,7,25,25,-15,41,56,-15,16,21,37
Mainz 05,34,6,5,6,23,18,5,1,9,7,16,33,-17,39,51,-12,23,12,35
M'gladbach,34,5,6,6,27,26,1,2,7,8,29,41,-12,56,67,-11,19,15,34
Union Berlin,34,7,2,8,22,30,-8,2,4,11,11,28,-17,33,58,-25,23,10,33
Bochum,34,5,8,4,26,29,-3,2,4,11,16,45,-29,42,74,-32,19,14,33
K̦ln,34,4,4,9,15,28,-13,1,8,8,13,32,-19,28,60,-32,13,14,27
Darmstadt,34,1,3,13,15,44,-29,2,5,10,15,42,-27,30,86,-56,5,6,17
